Zkontroloval	Název			Metadata							Soubory			Anotace
	Zkratka	Plný název	Obor	Typ	Termín	Cílová skupina	Web	Cena	Místo konání	Kontakt	Logo	Fotky	Práva k fotkám	
jméno toho, kdo kontroloval	jestli není, nechat prázdné	musí být vyplněn	matematika, informatika, geografie, ...	jednodenní, seminář, přednášky, ...	popište obecně	středoškoláci, základoškoláci, někdo jiný, ...	aktuální link na stránky	jestli neni, napište zdarma	kde to bude	obecný mail, nebo jméno + osobní mail	nahrajte vektorové logo do složky vedle	nahrajte 1-3 fotografie, jestli máte	jste sami autorem fotek?	2-4 věty
nikdo	-	Semináře a praktická cvičení z biochemie	biochemie	seminář/praktická cvičení	blokově podzim 2015 – jaro 2016	studenti SŠ	http://www.veda.muni.cz	?	Brno, Univerzitní kampus Bohunice	Tomáš Kašparovský, tkasp@sci.muni.cz	?	?	?	Zdá se ti, že praktických cvičení z biochemie je na vaší škole málo nebo dokonce nemáte žádná? Chtěl(a) by sis vyzkoušet práci vědce, seznámit se se špičkovým laboratorním vybavením? Přihlas se na seminář nebo praktické cvičení z biochemie. Můžeš si například „změřit“, jak se rostliny a živočichové brání patogenům.
nikdo	-	Botanické exkurze pro studenty SŠ	biologie	jednodenní exkurze	květen nebo červen 2016	učitelé a studenti SŠ	http://www.veda.muni.cz	zdarma	zajímavé lokality v Brně a jeho okolí	Olga Rotreklová, orotrekl@sci.muni.cz	?	?	?	Cílem exkurze je seznámit studenty s flórou, poznat atraktivní biotopy a rostlinné druhy, pochopit důvody a způsob ochrany přírody, ale také zopakovat si základní učivo středoškolské botaniky demonstrací charakteristických znaků jednotlivých rostlinných čeledí na vhodných zástupcích. Důležitou součástí exkurze je také praktické seznámení s vědeckými postupy a prací vědců v terénních podmínkách.
nikdo	-	Letní škola mikrobiologie	biologie								?	?	?	
nikdo	-	Molekulární biotechnologie: Praktické kurzy pro studenty SŠ	biologie								?	?	?	
nikdo	-	Přednášky o vlivu faktorů prostředí na rostliny pro učitele a studenty SŠ	biologie								?	?	?	
nikdo	-	Rostlinná cytologie, anatomie a fyziologie: Stáže pro studenty SŠ	biologie								?	?	?	
nikdo	-	Ústav experimentální biologie: Interaktivní exkurze pro studenty SŠ	biologie								?	?	?	
nikdo	-	Aktivity Centra pro výzkum toxických látek v prostředí (RECETOX)	biologie				http://www.recetox.muni.cz			Adresa neexisuje: Jaromír Literák, literak@recetox.muni.cz, tel.: +420 549 495 580				RECETOX je samostatným ústavem Přírodovědecké fakulty, který realizuje výzkum, vývoj, výuku a expertní činnost v oblasti znečištění prostředí toxickými látkami. Zaměstnanci a studenti se kromě toho podílejí na celé řadě aktivit určených pro středoškoláky a širší veřejnost, jako jsou například T-exkurze, N-trophy, Noc vědců a Festival vědy, Otevřená věda, Dny otevřených dveří nebo Science slam. RECETOX dále pravidelně pořádá pro středoškoláky a jejich učitele jednodenní semináře, které jsou věnovány různým aspektům chování chemických látek v životním prostředí. Po předchozí domluvě jsme rovněž schopni zajistit školám komentované prohlídky výzkumných laboratoří RECETOXu nebo popularizační přednášky.
nikdo	-	Fyzikální praktikum pro studenty a učitele SŠ	fyzika								?	?	?	
nikdo	-	Fyzikální programy pro střední školy – Pozoruhodný křemík a Mrazivý dusík	fyzika								?	?	?	
nikdo	-	Fyzikální soustředění pro SŠ žáky a učitele „Cikháj"	fyzika								?	?	?	
nikdo	-	Dny chemie	chemie								?	?	?	
nikdo	-	Letní chemické soustředění	chemie	městský tábor	každoročně obvykle na přelomu července a srpna	žáci ZŠ a studenti SŠ ve věku přibližně 14–17 let			Brno	Na dovolené do 30. 6. Zdeňka Antonovičová, zdenka@luzanky.cz	?	?	?	Ústav chemie PřF MU ve spolupráci se Střediskem volného času Lužánky pořádá pravidelně v letních měsících desetidenní letní chemické soustředění. Akce probíhá formou městského tábora, tj. včetně ubytování účastníků. Program letního chemického soustředění zahrnuje obvykle dopoledne laboratorní cvičení, odpoledne odborný (přednášky, exkurze) nebo odpočinkový program (návštěva lanového centra, venkovní hry s chemickou tematikou apod.), večer probíhají přednášky nebo častěji hry.
nikdo	ViBuCh	Vzdělávací kurz pro budoucí chemiky	chemie								?	?	?	
nikdo	-	Další akce z oboru chemie	chemie								?	?	?	
nikdo	-	Bohatství Země	geologie								?	?	?	
Jan Horáček	KSI	Korespondenční seminář z informatiky	informatika	seminář	září–duben	středoškolácí, kdokoliv	https://ksi.fi.muni.cz	zdarma	internet	ksi@fi.muni.cz	ano	ano	ano	KSI, neboli Korespondenční seminář z informatiky, je celoroční soutěž organizovaná studenty Fakulty informatiky Masarykovy univerzity. Cílem semináře jeseznámit řešitele se zajímavými oblastmi informatiky a procvičit programátorské, matematické a logické myšlení. Seminář je uzpůsoben jak pro úplné začátečníky, kteří si na jednoduchých příkladech procvičí danou problematiku, tak pro zkušenější řešitele, kteří se pokusí pokořit hlavní soutěžní úlohy.
nikdo	BRKOS	BRněnský KOrespondenční Seminář	matematika								?	?	?	
nikdo	-	MathRace	matematika								?	?	?	
