,Zkontroloval,Název,,Metadata,,,,,,,,,,Soubory,,,Popis aktivity na web,Délka popisku
Unikátní id,,Zkratka,Plný název,Organizátor,Obor,Typ,Termín,Cílová skupina,Web,Cena,Místo konání,Kontakt,Zvýrazněno,Logo,Fotky,Práva k fotkám,,
pro vnitřní potřebu webu,jméno + datum kontroly,nepovinné,musí být vyplněn,"jméno a odkaz, dodržujte formát","matematika, informatika, vědy o Zemi, ...","jednodenní, seminář, přednášky, ...",popište obecně,"středoškoláci, základoškoláci, někdo jiný, ...",aktuální link na stránky,"jestli neni, napište zdarma",kde to bude,"obecný mail, nebo jméno + osobní mail",momentálně pro potřeby webu,nahrajte vektorové logo do složky vedle,"nahrajte 1-3 fotografie, jestli máte",mohou být fotky veřejně používány?,"v rozmezí 200-250 znaků
(je-li text příliš dlouhý nebo příliš krátký, zobrazuje se červeně)
NEpište sem informace, které už jsou v ostatních polích (název aktivity, pořádající ústav, web a pod.).",v rozmezí 200-250 znaků
HEADER,,short-name,full-name,orgs,fields,type,date,target,link,price,place,contact,highlighted,,,,annotation,
-,,,Matematika,,,,,,,,,,,,,,,
brloh,"Petr Pupík
28.6.2024",BRLOH,Brněnská logická hra,"Ústav matematiky a statistiky, PřF MU: http://www.math.muni.cz/",matematika,dlouhodobá soutěž,říjen–prosinec,žáci základních škol,http://brloh.math.muni.cz/,zdarma,Brno,"Petr Pupík, petr.pupik@gmail.com",ano,"ano, SVG",ano,ano,"Týmová internetová logická hra pro žáky základních škol a odpovídajících ročníků víceletých gymnázií. Hra se skládá ze tří internetových kol, odkud se týmy kvalifikují do internetového malého finále. Ti nejlepší pak postoupí do velkého finále v Brně.",250
komar,"Matouš Trnka
16. 6. 2024",KOMÁR,Korespondenční matematické rébusy,"Ústav matematiky a statistiky, PřF MU: http://www.math.muni.cz/; Gymnázium Brno, třída Kapitána Jaroše: https://www.jaroska.cz/",matematika,dlouhodobá soutěž,celoročně,žáci základních škol,http://komar.math.muni.cz/,zdarma,různé,"Matouš Trnka, trnka.matous@gmail.com",,"ano, SVG","ne
(pouzili jsme z webu)",ano (k fotkám zveřejným na webu Komára máme souhlas k propagaci MUNI),"Matematická soutěž, kde studenti základních škol a víceletých gymnázií během celého školního roku řeší několik sérií matematických úloh. Na to navazují víkendová soustředění plná matematických i nematematických her, zábavy a dobrodružství.",239
brkos,Radka Fojtová 15.6.2024,BRKOS,Brněnský korespondenční seminář,"Ústav matematiky a statistiky, PřF MU: http://www.math.muni.cz/",matematika,dlouhodobá soutěž,celoročně,studenti středních škol,http://brkos.math.muni.cz/,zdarma,různé,brkos@math.muni.cz,ano,"ano, PDF",ano,ano,"Seminář pro středoškoláky, kteří mají rádi matematiku a netradiční problémy. Pro nejlepší z Vás jsou nachystané zajímavé ceny a také pořádáme matematická soustředění. Úspěšným řešitelům může být prominuta přijímací zkouška na matematické obory MU.",247
maskot,"Oskar Klíma
17.6.2024",MASKOT,MAtematický Seznamovací Kurz prO maTuranty,"Ústav matematiky a statistiky, PřF MU: http://www.math.muni.cz/",matematika,vícedenní soustředění,8.–11. října 2024,studenti 3.–4. ročníků středních škol,https://www.math.muni.cz/pro-uchazece/uchazeci-bakstudium/seznamovaci-kurz.html,200 Kč,různé,seznamovak@math.muni.cz,,"ano, SVG",ano,ano,"Baví Vás matematika a přemýšlíte, jaké povolání si zvolit? MASKOT Vám ukáže možnosti studia i uplatnění matematiky, pobaví Vás při pestré škále matematických i jiných her a umožní Vám poznat Vaše potenciální budoucí spolužáky i vyučující.",238
-,nikdo - vyřazeno,MathRace,MathRace,"Ústav matematiky a statistiky, PřF MU: http://www.math.muni.cz/",matematika,jednodenní soutěž,listopad,"středoškoláci, vysokoškoláci, veřejnost",http://brkos.math.muni.cz/mathrace/,zdarma,online,brkos@math.muni.cz,,"ano, ale pouze nekvalitní PNG","ne
(pouzili jsme z webu)",--,"Matematický online závod pořádaný seminářem BRKOS. Čeká na Vás 45 úloh s 3-hodinovou časovou dotací. Primárně je soutěž určena pro středoškoláky, mimo soutěž se může zúčastnit kdokoliv. Sestavte si tým a zažijte netradiční odpoledne plné matematiky.",249
mat-exkurze,"Petr Zemánek
14. 6. 2024",-,Matematické exkurze,"Ústav matematiky a statistiky, PřF MU: http://www.math.muni.cz/",matematika,exkurze,celoročně,žáci 2. stupně ZŠ a studenti SŠ,https://science.math.muni.cz/exkurze/,zdarma,"ÚMS, Brno","Petr Zemánek, zemanekp@math.muni.cz",,neexistuje,nemame,--,"Vyrazte s námi na interaktivní exkurze do různých oblastí matematiky. Můžeme třeba společně odhalit některá tajemství světa čísel nebo můžeme prozkoumat krásu fraktálů, dynamiky a přírody. Nabídku dalších témat najdete na webu.",227
-,,,Informatika,,,,,,,,,,,,,,,
ksi,Adam Hlaváček (18. 6. 2024),KSI,Korespondenční seminář z informatiky,Fakulta informatiky MU: https://www.fi.muni.cz/; Spolek přátel severské zvěře: https://zverinec.fi.muni.cz/,informatika,korespondenční seminář,září–duben,"studenti středních škol, veřejnost",https://ksi.fi.muni.cz/,zdarma,na internetu,ksi@fi.muni.cz,ano,"ano, SVG",ano,ano,"Celoroční seminář s cílem seznámit řešitele se zajímavými oblastmi informatiky a procvičit jejich programátorské, matematické a logické myšlení. Seminář je vhodný jak pro úplné začátečníky, kteří ještě nic neprogramovali, tak pro zkušenější řešitele.",250
python-ss,Pavel Nedělník (26. 6. 2024),PYTH01,Python pro středoškoláky,Fakulta informatiky MU: https://www.fi.muni.cz/,informatika,kroužek,"září–prosinec, únor–květen",studenti středních škol se základy programování,https://is.muni.cz/go/python,zdarma,Fakulta informatiky MU,pyth@fi.muni.cz,,"ano, SVG",ano,"ano, autor Eva Růžičková, práva FI MU",Semestrální kurz programování v jazyce Python určený pro středoškoláky. Na konci tohoto kurzu bude student schopen prakticky ovládat syntaxi a sémantiku jazyka Python a využít možnosti knihovny Pygame pro tvorbu her s grafickým rozhraním.,238
-,nikdo - vyřazeno,-,Letní škola IT,Fakulta informatiky MU: https://www.fi.muni.cz/; Czechitas: https://www.czechitas.cz/,informatika,týdenní seminář,srpen,studentky středních škol (dívky) bez znalosti programování,https://www.czechitas.cz/kurzy/letni-skola-it,viz web aktivity,Fakulta informatiky MU,"Barbora Bühnová, buhnova@fi.muni.cz",,"ano, SVG",ano,ano,"Přemýšlíš, jaký obor studia zvolit po střední škole? Zkus s námi objevit informační technologie na letní škole IT, kterou organizuje nezisková organizace Czechitas ve spolupráci s Fakultou informatiky MU. Ubytování a stravování je zajištěno.",241
-,nikdo - tento ročník se neotvírá,EMBS01,Embedded systems pro středoškoláky,Fakulta informatiky MU: https://www.fi.muni.cz/,informatika,týdenní nebo blokový seminář,únor–květen,studenti středních škol se základy programování,https://is.muni.cz/ekurzy/EMBS01,zdarma,Fakulta informatiky MU,"Zdeněk Matěj, matej.zdenek@mail.muni.cz",,neexistuje,ano,ano,Zábavný kurz pro zájemce o programování jednočipových procesorů a konstrukci jednoduchých elektronických zařízení. Ukážeme si základní principy fungování elektronických zařízení a vyrobíme si vlastní domácí lampičku se vzdáleným ovládáním.,239
poznejfi,Veronika Burgerová (26. 6. 2024),-,Poznej FI,Fakulta informatiky MU: https://www.fi.muni.cz/; Spolek přátel severské zvěře: https://zverinec.fi.muni.cz/,informatika,víkendový zážitkovo-informatický seminář,únor/březen,studenti středních škol se zájmem o informatiku,https://poznej.fi.muni.cz/,zdarma,Fakulta informatiky MU,poznejfi@fi.muni.cz,,"ano, SVG",ano,ano,"Přijď si vyzkoušet, jak probíhá studium informatiky na vysoké škole. Připravili jsme pro tebe tři dny plné zážitků přímo  na Fakultě informatiky. Čekají tě odborné workshopy vedené fakultními laboratořemi i netradiční informatické hry.",235
-,,,Geologie,,,,,,,,,,,,,,,
horniny,K. Zachovalová 31.6.2024,-,Geologická olympiáda,"Ústav geologických věd, PřF MU: http://ugv.cz/",vědy o Zemi,soutěž,celoročně,studenti základních a středních škol,https://www.geologicka-olympiada.cz/,zdarma,na školách,"Kateřina Zachovalová, zachovalova@sci.muni.cz",,"ano, pouze JPG",ano,ano,"Geologická olympiáda je soutěž jednotlivců ze základních a středních škol. Soutěž proběhne stupňově v kole školním, okresním, krajském a celostátním. Nejúspěšnější řešitelé postupují do Mezinárodní olympiády věd o Zemi.",219
