Název,Kontaktní osoba,Průvodní text
název ústavu a fakulty nebo pouze fakulty,"člověk, který na pracovišti řeší agendu SOČ","průvodní text, typicky kontaktní osoba za daný ústav/fakultu"
HEADER,,intro
Fakulta informatiky MU,propagace@fi.muni.cz,"Chcete psát SOČ s konzultanty z fakulty informatiky? Podívejte se na <a href=""https://www.fi.muni.cz/research/map.html"" target=""_blank"">oblasti výzkumu</a> nebo <a href=""https://www.fi.muni.cz/research/laboratories/index.html"" target=""_blank"">přehled laboratoří na FI</a>. Pokud vás některá oblast mimo níže uvedená témata zaujala, obracejte se na Martu Vrlovou (<a>propagace@fi.muni.cz</a>), která zprostředkuje kontakt na specialisty na danou oblast z fakulty informatiky. "
Ekonomicko-správní fakulta MU,Mirka Stejskalová miroslava.stejskalova@econ.muni.cz,"Chceš psát SOČ na ESF MU? Koukni na náš web: <a href=""https://www.econ.muni.cz/cs"" target=""_blank"">https://www.econ.muni.cz/cs</a>. A další témata po konzultaci na katedrách. Informace vám podá Mirka Stejskalová (<a>miroslava.stejskalova@econ.muni.cz</a>)."
"CEITEC MU, Středoevropský technologický institut",Michaela Fajkusová Michaela.Fajkusova@ceitec.muni.cz,"Pokud máte zájem vypracovat svou SOČ pod vedením školitele z CEITEC MU, seznamte se se zaměřením jednotlivých výzkumných skupin ústavu, kontaktujte školitele z preferované oblasti a ověřte možnost realizace projektu SOČ na daném pracovišti. V případě zájmu o některé z konkrétních vypsaných témat, kontaktujte vedoucího tématu. Jestliže potřebujete poradit, obraťte se na kontaktní osobu: Alena Otoupalíková (<a>alena.otoupalikova@ceitec.muni.cz</a>), pokusíme se Vám pomoci, případně najít školitele."
"Geografický ústav, PřF MU","Petr Dobrovolný
dobro@sci.muni.cz","Budeme rádi spolupracovat se studenty, kteří mají zájem o fyzickou geografii, sociální geografii či kartografii a geoinformatiku. Zájemci o téma se mohou informovat přímo u jednotlivých školitelů. V případě, že máte nápad na nějaké vlastní téma a potřebujete odbornou radu, napište Petrovi Dobrovolnému (<a>dobro@sci.muni.cz</a>), pokusíme se vám poradit či najít školitele."
"Národní centrum pro výzkum biomolekul, PřF MU","Mgr. Veronika Papoušková, Ph.D.
papouskova@ncbr.muni.cz","V případě zájmu o SOČ ve spolupráci s NCBR kontaktujte koordinátorku ústavu Mgr. Veroniku Papouškovou, Ph.D. (<a>papouskova@ncbr.muni.cz</a>)."
"RECETOX, PřF MU","Rozárka Jílková
rozarka.jilkova@recetox.muni.cz",Zajímá Vás životní prostředí a jak ovlivňuje nás a jak ovlivňujeme my jej? Kontaktujte Rozárku Jílkovou (<a>rozarka.jilkova@recetox.muni.cz</a>) a domluvte si téma přímo Vám na míru.
"Ústav biochemie, PřF MU","dr. Kašparovská
kasparovska@mail.muni.cz","Témata pro SOČ lze najít na webu ústavu <a href=""http://www.ubch.sci.muni.cz"" target=""_blank"">www.ubch.sci.muni.cz</a>. V případě, že má student zájem o biochemické téma pro svou SOČ, může kontaktovat jednotlivé vedoucí laboratoří nebo dr. Kašparovskou (<a>kasparovska@mail.muni.cz</a>)."
"Ústav botaniky a zoologie, PřF MU","Eva Šmerdová
75764@mail.muni.cz","Vypsaná témata lze najít v <a href=""http://botzool.sci.muni.cz/files/soc.pdf"" 
 target=""_blank"">PDF na webu ústavu</a>. V případě zájmu o konkrétní téma je nejlepší kontaktovat vedoucího tématu. Kontaktní osoba ohledně SOČ obecně: Eva Šmerdová (<a>75764@mail.muni.cz</a>)."
