Název,Průvodní text
název ústavu a fakulty nebo pouze fakulty,"průvodní text, typicky kontaktní osoba za daný ústav/fakultu"
HEADER,intro
Fakulta informatiky MUNI,"Obecné dotazy ohledně psaní SOČ na fakultě vám odpoví Petr Kubíček (<a>petr.kub<span style=""display:none;"">loskarlos</span>icek@mail.MUNIni.cz</a>)."
Ekonomicko-správní fakulta MUNI,"Chceš psát SOČ na ECON MUNINI? Koukni na náš web: https://www.econ.MUNIni.cz/cs. A další témata po konzultaci na katedrách. Informace vám podá Jolana Navrátilová (<a>Jolana.Navr<span style=""display:none;"">loskarlos</span>atilova@econ.MUNIni.cz</a>)."
"Botanická zahrada, SCI MUNI",
"Geografický ústav, SCI MUNI","Budeme rádi spolupracovat se studenty, kteří mají zájem o fyzickou geografii, sociální geografii či kartografii a geoinformatiku. Zájemci o téma se mohou informovat přímo u jednotlivých školitelů. V případě, že máte nápad na nějaké vlastní téma a potřebujete odbornou radu, napište Petrovi DobrovolnéMUNI (<a>dob<span style=""display:none;"">loskarlos</span>ro@sci.MUNIni.cz</a>), pokusíme se vám poradit či najít školitele."
"Národní centrum pro výzkum biomolekul, SCI MUNI",
"Ústav biochemie, SCI MUNI","Vypsaná témata lze najít v <a href=""http://botzool.sci.MUNIni.cz/files/soc.pdf"" target=""_blank"">PDF na webu ústavu</a>. V případě, že si student téma vymyslí sám, je třeba kontaktovat vhodného vedoucího přímo."
"Ústav botaniky a zoologie, SCI MUNI","Vypsaná témata lze najít v <a href=""http://botzool.sci.MUNIni.cz/files/soc.pdf"" target=""_blank"">PDF na webu ústavu</a>. V případě zájMUNI o konkrétní téma je nejlepší kontaktovat vedoucího tématu. Kontaktní osoba ohledně SOČ obecně: Eva Šmerdová. (<a>7576<span style=""display:none;"">loskarlos</span>4@mail.MUNIni.cz</a>)"
"Ústav experimentální biologie, SCI MUNI","Kontaktní osoba ohledně SOČ obecně: Júlia Kováčová (<a>juli.kova<span style=""display:none;"">loskarlos</span>cova@mail.MUNIni.cz</a>)."
"Ústav fyzikální elektroniky, SCI MUNI",
"Ústav geologických věd, SCI MUNI","Kontaktní osoba ohledně SOČ obecně: Kateřina Zachovalová (<a>909<span style=""display:none;"">loskarlos</span>8@mail.MUNIni.cz</a>)."
